# Time[s], Amplitude[v]
0.000000000000000000e+00,7.019999793556053318e-07
4.999999999999999774e-07,-1.790099952359014339e-06
9.999999999999999547e-07,-3.194099881511647220e-06
1.500000000000000038e-06,-4.071599832968786664e-06
1.999999999999999909e-06,-3.439799922944075830e-06
2.500000000000000205e-06,-4.563000015878060113e-07
3.000000000000000076e-06,1.474199925723951276e-06
3.499999999999999947e-06,1.860299964846490082e-06
3.999999999999999819e-06,2.070899940918025044e-06
4.500000000000000114e-06,3.053699851989222326e-06
5.000000000000000409e-06,3.229199921861436281e-06
5.499999999999999857e-06,1.333800012162100807e-06
6.000000000000000152e-06,-1.053000005413196023e-07
6.499999999999999600e-06,-5.265000231702287808e-07
6.999999999999999895e-06,-3.510000397000112836e-08
7.500000000000000190e-06,-3.509996304273954354e-08
7.999999999999999638e-06,7.020001930868602623e-08
8.499999999999999933e-06,-8.774999810157169080e-07
9.000000000000000228e-06,-1.930499931859230906e-06
9.500000000000000523e-06,-2.421899914679670626e-06
1.000000000000000082e-05,-1.439099985418579291e-06
1.049999999999999942e-05,1.052999959938461025e-07
1.099999999999999971e-05,1.754999834702175502e-07
1.150000000000000001e-05,-1.439099958133738213e-06
1.200000000000000030e-05,-1.052999919011199407e-06
1.250000000000000060e-05,1.052999962212197622e-06
1.299999999999999920e-05,4.562999856716487684e-07
1.349999999999999949e-05,-1.754999977947591165e-06
1.399999999999999979e-05,-8.423999656770320101e-07
1.450000000000000009e-05,2.141099939763080142e-06
1.500000000000000038e-05,2.035799955137918140e-06
1.550000000000000068e-05,-1.123199970152199958e-06
1.599999999999999928e-05,-1.333799950771208328e-06
1.650000000000000127e-05,1.228499925218784390e-06
1.699999999999999987e-05,1.790099966001434984e-06
1.749999999999999847e-05,-2.105999897139554484e-07
1.800000000000000046e-05,-1.403999979174841420e-06
1.849999999999999906e-05,-1.895399936984176764e-06
1.900000000000000105e-05,-1.825199972245172856e-06
1.949999999999999965e-05,-1.544399931390216909e-06
2.000000000000000164e-05,-3.509999646666983439e-07
2.050000000000000024e-05,1.263599983758467715e-06
2.099999999999999884e-05,2.316599982350453654e-06
2.150000000000000083e-05,1.719899944419012214e-06
2.199999999999999943e-05,1.333799925760104164e-06
2.250000000000000142e-05,1.158299935468676318e-06
2.300000000000000002e-05,4.913999919153866400e-07
2.349999999999999862e-05,3.860999891003302679e-07
2.400000000000000061e-05,1.474199955282529058e-06
2.449999999999999921e-05,2.281499923810770117e-06
2.500000000000000120e-05,1.088099986645829546e-06
2.549999999999999980e-05,-4.562999788504384987e-07
2.599999999999999840e-05,-1.052999868988990763e-07
2.650000000000000039e-05,2.035799930126813554e-06
2.699999999999999899e-05,2.492099938535829887e-06
2.750000000000000098e-05,1.193399943986150893e-06
2.799999999999999958e-05,-3.509999964990129356e-07
2.850000000000000157e-05,-5.615999430119700095e-07
2.900000000000000017e-05,5.615999634756007655e-07
2.949999999999999877e-05,1.684799940449011046e-06
3.000000000000000076e-05,2.492099883966147730e-06
3.049999999999999936e-05,1.719899969430116378e-06
3.100000000000000135e-05,-4.211999794279108967e-07
3.149999999999999995e-05,-1.368899961562419818e-06
3.199999999999999855e-05,-2.807999680953798964e-07
3.249999999999999715e-05,1.579500005846057371e-06
3.300000000000000253e-05,2.492099861228780271e-06
3.350000000000000113e-05,9.827999429035117681e-07
3.399999999999999973e-05,-1.474199950735055651e-06
3.449999999999999833e-05,-2.035799891473288745e-06
3.499999999999999693e-05,-1.509300002453528654e-06
3.550000000000000231e-05,-1.895399918794282712e-06
3.600000000000000091e-05,-2.070899943191761748e-06
