# Time[s], Amplitude[v]
0.000000000000000000e+00,3.509997895889682616e-08
4.999999999999999774e-07,-4.562999720292282291e-07
9.999999999999999547e-07,-1.439099976323632265e-06
1.500000000000000038e-06,-1.544399931390216909e-06
1.999999999999999909e-06,-1.088099991193303165e-06
2.500000000000000205e-06,-8.423999861406627661e-07
3.000000000000000076e-06,5.966999856354959859e-07
3.499999999999999947e-06,8.774999992056109604e-07
3.999999999999999819e-06,-7.020003749858006539e-08
4.500000000000000114e-06,-1.790099981917592333e-06
5.000000000000000409e-06,-2.527200015265407477e-06
5.499999999999999857e-06,-1.052999939474830163e-06
6.000000000000000152e-06,4.913999578093353447e-07
6.499999999999999600e-06,8.073000503827642946e-07
6.999999999999999895e-06,4.914000555800157176e-07
7.500000000000000190e-06,-5.966999560769182037e-07
7.999999999999999638e-06,-2.492099918072199131e-06
8.499999999999999933e-06,-2.316599925507034793e-06
9.000000000000000228e-06,-9.477000139668235132e-07
9.500000000000000523e-06,4.562999811241752553e-07
1.000000000000000082e-05,1.509299954705056819e-06
1.049999999999999942e-05,1.474199916629004250e-06
1.099999999999999971e-05,1.193399923522520137e-06
1.150000000000000001e-05,7.721999986642912919e-07
1.200000000000000030e-05,-3.510005399220972613e-08
1.250000000000000060e-05,-1.298699978633521857e-06
1.299999999999999920e-05,-1.368899943372525766e-06
1.349999999999999949e-05,-1.158300024144409665e-06
1.399999999999999979e-05,-1.684799938175274343e-06
1.450000000000000009e-05,-1.930499931859230906e-06
1.500000000000000038e-05,2.105999965351656915e-07
1.550000000000000068e-05,1.754999993863748302e-06
1.599999999999999928e-05,1.404000727234233742e-07
1.650000000000000127e-05,-2.176199898258346179e-06
1.699999999999999987e-05,-2.000699921609339190e-06
1.749999999999999847e-05,-8.775000333116622557e-07
1.800000000000000046e-05,-2.105999669765878829e-07
1.849999999999999906e-05,2.457000209687976421e-07
1.900000000000000105e-05,5.264999595055997033e-07
1.949999999999999965e-05,1.579499987656163318e-06
2.000000000000000164e-05,2.948399878732743842e-06
2.050000000000000024e-05,2.878199913993739722e-06
2.099999999999999884e-05,2.281499989749136216e-06
2.150000000000000083e-05,2.807999935612315380e-06
2.199999999999999943e-05,2.456999873174936663e-06
2.250000000000000142e-05,1.368899945646262469e-06
2.300000000000000002e-05,1.193399953081097919e-06
2.349999999999999862e-05,1.158300040060567013e-06
2.400000000000000061e-05,1.474200057600683050e-06
2.449999999999999921e-05,1.755000023422326296e-06
2.500000000000000120e-05,2.421899976070562894e-06
2.549999999999999980e-05,3.334499967877490975e-06
2.599999999999999840e-05,3.018599913957587045e-06
2.650000000000000039e-05,9.828000338529818183e-07
2.699999999999999899e-05,-1.509299872850533583e-06
2.750000000000000098e-05,-2.211299929513188426e-06
2.799999999999999958e-05,-1.474199982567370137e-06
2.850000000000000157e-05,-7.370999855993432035e-07
2.900000000000000017e-05,-4.914000328426482579e-07
2.949999999999999877e-05,-2.808000203913252441e-07
3.000000000000000076e-05,-1.053000141837401284e-07
3.049999999999999936e-05,1.052999846251623197e-07
3.100000000000000135e-05,-6.318000373539689886e-07
3.149999999999999995e-05,-1.754999866534490147e-06
3.199999999999999855e-05,-8.774999059824039948e-07
3.249999999999999715e-05,1.123199917856254717e-06
3.300000000000000253e-05,4.562999470181239070e-07
3.350000000000000113e-05,-4.282199865883740063e-06
3.399999999999999973e-05,-7.055099765693739789e-06
3.449999999999999833e-05,-4.071599830695049537e-06
3.499999999999999693e-05,-9.094947017729282568e-15
3.550000000000000231e-05,-2.457000027789035897e-07
3.600000000000000091e-05,-1.965599997220124554e-06
3.649999999999999951e-05,-1.930499986428913063e-06
3.699999999999999811e-05,-1.228499888838996497e-06
3.749999999999999671e-05,-1.404000047386944010e-06
3.800000000000000209e-05,-2.456999857258779314e-06
3.850000000000000069e-05,-4.457699910744849855e-06
3.899999999999999929e-05,-5.159699899195402531e-06
