# Time[s], Amplitude[v]
0.000000000000000000e+00,1.754999880176910633e-07
4.999999999999999774e-07,-8.072999639807676515e-07
9.999999999999999547e-07,-2.421899898763513277e-06
1.500000000000000038e-06,-2.176199918721977359e-06
1.999999999999999909e-06,5.966999697193387430e-07
2.500000000000000205e-06,3.194099892880331162e-06
3.000000000000000076e-06,2.632499922583519862e-06
3.499999999999999947e-06,-1.193399973544728676e-06
3.999999999999999819e-06,-3.509999917241657521e-06
4.500000000000000114e-06,-2.562299923738464764e-06
5.000000000000000409e-06,6.668999640169204340e-07
5.499999999999999857e-06,2.176199966470448982e-06
6.000000000000000152e-06,1.895399921068019416e-06
6.499999999999999600e-06,1.684799963186378506e-06
6.999999999999999895e-06,2.527199894757359221e-06
7.500000000000000190e-06,2.246399906198348516e-06
7.999999999999999638e-06,7.370999560407654213e-07
8.499999999999999933e-06,2.456999868627462938e-07
9.000000000000000228e-06,1.158299980943411449e-06
9.500000000000000523e-06,7.721999986642912919e-07
1.000000000000000082e-05,8.774999741945066913e-07
1.049999999999999942e-05,1.544399992781109177e-06
1.099999999999999971e-05,9.125999304160359189e-07
1.150000000000000001e-05,3.510000169626437181e-08
1.200000000000000030e-05,3.158999766128545246e-07
1.250000000000000060e-05,9.827999679146159313e-07
1.299999999999999920e-05,3.861000095639610769e-07
1.349999999999999949e-05,-5.966999651718652299e-07
1.399999999999999979e-05,-3.509999942252761790e-07
1.450000000000000009e-05,9.125999395109829451e-07
1.500000000000000038e-05,1.403999840476899482e-07
1.550000000000000068e-05,-1.790099995560012766e-06
1.599999999999999928e-05,-2.070899952286708986e-06
1.650000000000000127e-05,-1.123199917856254717e-06
1.699999999999999987e-05,-1.439099958133738213e-06
1.749999999999999847e-05,-1.017899999169458178e-06
1.800000000000000046e-05,7.020000111879198706e-08
1.849999999999999906e-05,-1.719899976251326700e-06
1.900000000000000105e-05,-4.106699902877153295e-06
1.949999999999999965e-05,-4.176899899448472113e-06
2.000000000000000164e-05,-2.176199918721977359e-06
2.050000000000000024e-05,-3.510002215989516090e-08
2.099999999999999884e-05,2.211299911323294374e-06
2.150000000000000083e-05,3.369599878624285389e-06
2.199999999999999943e-05,2.456999934565828931e-06
2.250000000000000142e-05,1.404000249749515132e-07
2.300000000000000002e-05,2.106000306412170133e-07
2.349999999999999862e-05,1.965599908544390996e-06
2.400000000000000061e-05,1.298699953622417482e-06
2.449999999999999921e-05,-9.827999679146159313e-07
2.500000000000000120e-05,-8.423999906881362792e-07
2.549999999999999980e-05,1.509299954705056819e-06
2.599999999999999840e-05,8.774999582783493425e-07
2.650000000000000039e-05,-1.474199964377476084e-06
2.699999999999999899e-05,-1.895399925615493035e-06
2.750000000000000098e-05,-9.476999866819824346e-07
2.799999999999999958e-05,-2.808000158438517310e-07
2.850000000000000157e-05,-3.860999891003302679e-07
2.900000000000000017e-05,-1.403999635840591392e-07
2.949999999999999877e-05,-7.019996701274066528e-08
3.000000000000000076e-05,-3.509999646666983439e-07
3.049999999999999936e-05,6.668999776593409733e-07
3.100000000000000135e-05,8.424000202467141673e-07
3.149999999999999995e-05,-9.476999798607721120e-07
3.199999999999999855e-05,-2.772899931642314000e-06
3.249999999999999715e-05,-1.193399987187149321e-06
3.300000000000000253e-05,-4.563000061352795244e-07
3.350000000000000113e-05,-2.070899936370551637e-06
3.399999999999999973e-05,-2.070899938644288341e-06
3.449999999999999833e-05,3.159000175401160896e-07
3.499999999999999693e-05,1.755000198500056285e-07
3.550000000000000231e-05,-2.246399913019559050e-06
3.600000000000000091e-05,-1.439100033167051126e-06
3.649999999999999951e-05,2.948399935576162703e-06
3.699999999999999811e-05,4.352399878371216230e-06
3.749999999999999671e-05,1.719900005809904483e-06
3.800000000000000209e-05,-1.754999948389013330e-07
3.850000000000000069e-05,1.228499993430887192e-06
3.899999999999999929e-05,2.562299953297042334e-06
3.949999999999999789e-05,1.228499945682415358e-06
4.000000000000000327e-05,-9.126000122705590488e-07
4.050000000000000187e-05,-1.228499977514729844e-06
4.100000000000000047e-05,-1.017899962789670073e-06
4.149999999999999907e-05,-6.669000208603392948e-07
4.199999999999999768e-05,-5.966999651718652299e-07
4.250000000000000305e-05,-1.719899948966485622e-06
4.300000000000000165e-05,-2.983499939546163660e-06
4.350000000000000026e-05,-2.246399926661979272e-06
4.399999999999999886e-05,1.404000227012147566e-07
4.449999999999999746e-05,6.317999645943927790e-07
4.500000000000000283e-05,-7.019999839030788449e-07
4.550000000000000144e-05,-1.719899996714957456e-06
4.600000000000000004e-05,-2.386799883424828379e-06
4.649999999999999864e-05,-1.754999948389013383e-06
4.699999999999999724e-05,-1.825199944960331777e-06
4.750000000000000262e-05,-2.106000006278918692e-06
4.800000000000000122e-05,-1.790099966001434984e-06
4.849999999999999982e-05,3.410605131648480766e-14
4.899999999999999842e-05,1.614599927961535303e-06
4.949999999999999702e-05,1.403999947342526934e-06
5.000000000000000240e-05,-2.456999595779052682e-07
5.050000000000000100e-05,-1.158299937742413022e-06
5.099999999999999960e-05,-7.370999605882389344e-07
5.149999999999999820e-05,2.105999715240613960e-07
5.199999999999999680e-05,1.017899901398777805e-06
5.250000000000000218e-05,1.193399968997255268e-06
5.300000000000000078e-05,8.423999861406627661e-07
5.349999999999999938e-05,8.072999730757146777e-07
5.399999999999999798e-05,6.668999594694469209e-07
5.450000000000000336e-05,1.755000130287953589e-07
5.500000000000000196e-05,8.072999594332941384e-07
5.550000000000000056e-05,1.930499945501651551e-06
